date,point
2022/11/16,-0.75
2022/11/17,-0.33
2022/11/18,-1.0
2022/11/19,-0.33
2022/11/20,-1.0
2022/11/21,-0.5
2022/11/22,-1.0
2022/11/23,-1.0
2022/11/24,-1.0
2022/11/25,-1.0
2022/11/26,0.0
2022/11/28,-1.0
2022/11/29,-1.0
2022/11/30,-0.33
2022/12/01,0.0
2022/12/04,0.25
2022/12/05,-0.67
2022/12/06,0.83
2022/12/07,0.0
2022/12/09,0.5
2022/12/10,0.0
2022/12/11,0.0
2022/12/12,1.0
2022/12/14,0.0
2022/12/15,0.5
2022/12/16,1.0
2022/12/21,0.0
2022/12/22,-1.0
2022/12/23,0.5
2022/12/27,0.0
2022/12/28,0.33
2022/12/29,-1.0
2022/12/30,1.0
2023/01/04,0.33
2023/01/06,0.25
2023/01/08,0.0
2023/01/09,-1.0
2023/01/10,-0.5
2023/01/11,0.0
2023/01/12,0.4
2023/01/13,0.5
2023/01/16,0.5
2023/01/19,-0.25
2023/01/30,-1.0
2023/01/31,-0.33
2023/02/01,-1.0
2023/02/03,-1.0
2023/02/05,-1.0
2023/02/06,-1.0
2023/02/07,1.0
2023/02/08,0.5
2023/02/09,-1.0
2023/02/10,-1.0
2023/02/14,-0.6
2023/02/15,-1.0
2023/02/16,-1.0
2023/02/18,-1.0
2023/02/20,-0.5
2023/02/21,-1.0
2023/02/22,-1.0
2023/02/23,-1.0
2023/02/24,-1.0
2023/03/01,0.0
2023/03/02,0.0
2023/03/03,0.33
2023/03/04,-1.0
2023/03/05,0.0
2023/03/10,-1.0
2023/03/12,1.0
2023/03/13,0.0
2023/03/15,-1.0
2023/03/16,0.33
2023/03/17,0.0
2023/04/10,-1.0
2023/04/11,-1.0
2023/04/12,-1.0
2023/04/13,-1.0
2023/04/16,-1.0
2023/04/17,-1.0
2023/04/18,-1.0
2023/04/19,-0.5
2023/04/20,-0.8
2023/04/21,-1.0
2023/04/22,0.0
2023/04/24,-1.0
2023/04/25,-1.0
2023/04/26,-1.0
2023/04/27,-0.6
2023/04/28,-0.33
2023/04/29,-1.0
2023/05/03,-1.0
2023/05/04,1.0
2023/05/05,-1.0
2023/05/07,-1.0
2023/05/09,0.0
2023/05/10,-1.0
2023/05/11,-1.0
2023/05/12,-1.0
2023/05/13,-1.0
2023/05/15,-1.0
2023/05/16,-1.0
2023/05/17,-1.0
2023/05/18,-0.2
2023/05/20,-1.0
2023/05/23,0.0
2023/05/24,-1.0
2023/05/25,-0.33
2023/05/26,-1.0
2023/05/29,-1.0
2023/06/01,-1.0
2023/06/02,-1.0
2023/06/04,-0.5
2023/06/06,-0.5
2023/06/07,-1.0
2023/06/08,1.0
2023/06/09,-1.0
2023/06/10,-1.0
2023/06/11,-1.0
2023/06/12,-1.0
2023/06/13,-1.0
2023/06/14,-1.0
2023/06/15,-1.0
2023/06/16,-1.0
2023/06/17,-1.0
2023/06/18,-1.0
2023/06/20,-1.0
2023/06/28,-1.0
2023/06/29,0.0
2023/06/30,-1.0
